"state","jurisdiction","fipscode","office","candidate","party","votes","totalvotes"
"KY","Caldwell",2103300000,"President","Chris Keniston","Veteran's Party of America",0,5975
"KY","Caldwell",2103300000,"President","Craig Ellis","",0,5975
"KY","Caldwell",2103300000,"President","Daniel Paul Zutler","",0,5975
"KY","Caldwell",2103300000,"President","Darrell Castle","Constitution",0,5975
"KY","Caldwell",2103300000,"President","David Perry","",0,5975
"KY","Caldwell",2103300000,"President","Denny Carroll Jackson","",0,5975
"KY","Caldwell",2103300000,"President","Donald Trump","Republican",4507,5975
"KY","Caldwell",2103300000,"President","Evan McMullin","Independent",55,5975
"KY","Caldwell",2103300000,"President","Gary Johnson","Libertarian",118,5975
"KY","Caldwell",2103300000,"President","Hillary Clinton","Democrat",1260,5975
"KY","Caldwell",2103300000,"President","Jerry White","",0,5975
"KY","Caldwell",2103300000,"President","Jill Stein","Green",32,5975
"KY","Caldwell",2103300000,"President","Joseph Maldonado","",0,5975
"KY","Caldwell",2103300000,"President","Laurence Kotlikoff","",0,5975
"KY","Caldwell",2103300000,"President","Marshall Roy Schoenke","",0,5975
"KY","Caldwell",2103300000,"President","Michael Maturen","",0,5975
"KY","Caldwell",2103300000,"President","Mike Smith","",0,5975
"KY","Caldwell",2103300000,"President","Richard Duncan","",0,5975
"KY","Caldwell",2103300000,"President","Richard Turner Luesing Jr.","",0,5975
"KY","Caldwell",2103300000,"President","Rocky Roque de la Fuente","American Delta",3,5975
"KY","Caldwell",2103300000,"President","Santa Roy A. Clark","",0,5975
"KY","Caldwell",2103300000,"President","Scott Cubbler","",0,5975
"KY","Caldwell",2103300000,"President","Sheila Samm Tittle","We the People",0,5975
"KY","Caldwell",2103300000,"President","Timothy Allen Stevens","",0,5975
"KY","Caldwell",2103300000,"President","Tom Hoefling","America's Party",0,5975
"KY","Caldwell",2103300000,"President","William Martin Ling","",0,5975
"KY","Calloway",2103500000,"President","Anthony J. Valdiva","",0,16049
"KY","Calloway",2103500000,"President","Ben Hartnell","",0,16049
"KY","Calloway",2103500000,"President","Cherunda Fox","",0,16049
"KY","Calloway",2103500000,"President","Chris Keniston","Veteran's Party of America",0,16049
"KY","Calloway",2103500000,"President","Craig Ellis","",0,16049
"KY","Calloway",2103500000,"President","Daniel Paul Zutler","",0,16049
"KY","Calloway",2103500000,"President","Darrell Castle","Constitution",4,16049
"KY","Calloway",2103500000,"President","David Perry","",0,16049
"KY","Calloway",2103500000,"President","Denny Carroll Jackson","",0,16049
"KY","Calloway",2103500000,"President","Donald Trump","Republican",10367,16049
"KY","Calloway",2103500000,"President","Evan McMullin","Independent",281,16049
"KY","Calloway",2103500000,"President","Gary Johnson","Libertarian",492,16049
"KY","Calloway",2103500000,"President","Hillary Clinton","Democrat",4749,16049
"KY","Calloway",2103500000,"President","Jerry White","",0,16049
"KY","Calloway",2103500000,"President","Jill Stein","Green",150,16049
"KY","Calloway",2103500000,"President","Joseph Maldonado","",0,16049
"KY","Calloway",2103500000,"President","Laurence Kotlikoff","",0,16049
"KY","Calloway",2103500000,"President","Marshall Roy Schoenke","",0,16049
"KY","Calloway",2103500000,"President","Michael Maturen","",0,16049
"KY","Calloway",2103500000,"President","Mike Smith","",0,16049
"KY","Calloway",2103500000,"President","Richard Duncan","",0,16049
"KY","Calloway",2103500000,"President","Richard Turner Luesing Jr.","",0,16049
"KY","Calloway",2103500000,"President","Rocky Roque de la Fuente","American Delta",6,16049
"KY","Calloway",2103500000,"President","Santa Roy A. Clark","",0,16049
"KY","Calloway",2103500000,"President","Scott Cubbler","",0,16049
"KY","Calloway",2103500000,"President","Sheila Samm Tittle","We the People",0,16049
"KY","Calloway",2103500000,"President","Timothy Allen Stevens","",0,16049
"KY","Calloway",2103500000,"President","Tom Hoefling","America's Party",0,16049
"KY","Calloway",2103500000,"President","William Martin Ling","",0,16049
"KY","Campbell",2103700000,"President","Anthony J. Valdiva","",0,42510
"KY","Campbell",2103700000,"President","Ben Hartnell","",0,42510
"KY","Campbell",2103700000,"President","Cherunda Fox","",0,42510
"KY","Campbell",2103700000,"President","Chris Keniston","Veteran's Party of America",0,42510
"KY","Campbell",2103700000,"President","Craig Ellis","",0,42510
"KY","Campbell",2103700000,"President","Daniel Paul Zutler","",0,42510
"KY","Campbell",2103700000,"President","Darrell Castle","Constitution",14,42510
"KY","Campbell",2103700000,"President","David Perry","",0,42510
"KY","Campbell",2103700000,"President","Denny Carroll Jackson","",0,42510
"KY","Campbell",2103700000,"President","Donald Trump","Republican",25050,42510
"KY","Campbell",2103700000,"President","Evan McMullin","Independent",552,42510
"KY","Campbell",2103700000,"President","Gary Johnson","Libertarian",1789,42510
"KY","Campbell",2103700000,"President","Hillary Clinton","Democrat",14658,42510
"KY","Campbell",2103700000,"President","Jerry White","",0,42510
"KY","Campbell",2103700000,"President","Jill Stein","Green",422,42510
"KY","Campbell",2103700000,"President","Joseph Maldonado","",0,42510
"KY","Campbell",2103700000,"President","Laurence Kotlikoff","",1,42510
"KY","Campbell",2103700000,"President","Marshall Roy Schoenke","",0,42510
"KY","Campbell",2103700000,"President","Michael Maturen","",6,42510
"KY","Campbell",2103700000,"President","Mike Smith","",0,42510
"KY","Campbell",2103700000,"President","Richard Duncan","",0,42510
"KY","Campbell",2103700000,"President","Richard Turner Luesing Jr.","",0,42510
"KY","Campbell",2103700000,"President","Rocky Roque de la Fuente","American Delta",18,42510
"KY","Campbell",2103700000,"President","Santa Roy A. Clark","",0,42510
"KY","Campbell",2103700000,"President","Scott Cubbler","",0,42510
"KY","Campbell",2103700000,"President","Sheila Samm Tittle","We the People",0,42510
"KY","Campbell",2103700000,"President","Timothy Allen Stevens","",0,42510
"KY","Campbell",2103700000,"President","Tom Hoefling","America's Party",0,42510
"KY","Campbell",2103700000,"President","William Martin Ling","",0,42510
"KY","Carlisle",2103900000,"President","Anthony J. Valdiva","",0,2601
"KY","Carlisle",2103900000,"President","Ben Hartnell","",0,2601
"KY","Carlisle",2103900000,"President","Cherunda Fox","",0,2601
"KY","Carlisle",2103900000,"President","Chris Keniston","Veteran's Party of America",0,2601
"KY","Carlisle",2103900000,"President","Craig Ellis","",0,2601
"KY","Carlisle",2103900000,"President","Daniel Paul Zutler","",0,2601
"KY","Carlisle",2103900000,"President","Darrell Castle","Constitution",0,2601
"KY","Carlisle",2103900000,"President","David Perry","",0,2601
"KY","Carlisle",2103900000,"President","Denny Carroll Jackson","",0,2601
"KY","Carlisle",2103900000,"President","Donald Trump","Republican",2094,2601
"KY","Carlisle",2103900000,"President","Evan McMullin","Independent",19,2601
"KY","Carlisle",2103900000,"President","Gary Johnson","Libertarian",42,2601
"KY","Carlisle",2103900000,"President","Hillary Clinton","Democrat",432,2601
"KY","Carlisle",2103900000,"President","Jerry White","",0,2601
"KY","Carlisle",2103900000,"President","Jill Stein","Green",12,2601
"KY","Carlisle",2103900000,"President","Joseph Maldonado","",0,2601
"KY","Carlisle",2103900000,"President","Laurence Kotlikoff","",0,2601
"KY","Carlisle",2103900000,"President","Marshall Roy Schoenke","",0,2601
"KY","Carlisle",2103900000,"President","Michael Maturen","",0,2601
"KY","Carlisle",2103900000,"President","Mike Smith","",0,2601
"KY","Carlisle",2103900000,"President","Richard Duncan","",0,2601
"KY","Carlisle",2103900000,"President","Richard Turner Luesing Jr.","",0,2601
"KY","Carlisle",2103900000,"President","Rocky Roque de la Fuente","American Delta",2,2601
"KY","Carlisle",2103900000,"President","Santa Roy A. Clark","",0,2601
"KY","Carlisle",2103900000,"President","Scott Cubbler","",0,2601
"KY","Carlisle",2103900000,"President","Sheila Samm Tittle","We the People",0,2601
"KY","Carlisle",2103900000,"President","Timothy Allen Stevens","",0,2601
"KY","Carlisle",2103900000,"President","Tom Hoefling","America's Party",0,2601
"KY","Carlisle",2103900000,"President","William Martin Ling","",0,2601
"KY","Carroll",2104100000,"President","Anthony J. Valdiva","",0,3855
"KY","Carroll",2104100000,"President","Ben Hartnell","",0,3855
"KY","Carroll",2104100000,"President","Cherunda Fox","",0,3855
"KY","Carroll",2104100000,"President","Chris Keniston","Veteran's Party of America",0,3855
"KY","Carroll",2104100000,"President","Craig Ellis","",0,3855
"KY","Carroll",2104100000,"President","Daniel Paul Zutler","",0,3855
"KY","Carroll",2104100000,"President","Darrell Castle","Constitution",0,3855
"KY","Carroll",2104100000,"President","David Perry","",0,3855
"KY","Carroll",2104100000,"President","Denny Carroll Jackson","",0,3855
"KY","Carroll",2104100000,"President","Donald Trump","Republican",2588,3855
"KY","Carroll",2104100000,"President","Evan McMullin","Independent",33,3855
"KY","Carroll",2104100000,"President","Gary Johnson","Libertarian",100,3855
"KY","Carroll",2104100000,"President","Hillary Clinton","Democrat",1106,3855
"KY","Carroll",2104100000,"President","Jerry White","",0,3855
"KY","Carroll",2104100000,"President","Jill Stein","Green",24,3855
"KY","Carroll",2104100000,"President","Joseph Maldonado","",0,3855
"KY","Carroll",2104100000,"President","Laurence Kotlikoff","",0,3855
"KY","Carroll",2104100000,"President","Marshall Roy Schoenke","",0,3855
"KY","Carroll",2104100000,"President","Michael Maturen","",0,3855
"KY","Carroll",2104100000,"President","Mike Smith","",0,3855
"KY","Carroll",2104100000,"President","Richard Duncan","",0,3855
"KY","Carroll",2104100000,"President","Richard Turner Luesing Jr.","",0,3855
"KY","Carroll",2104100000,"President","Rocky Roque de la Fuente","American Delta",4,3855
"KY","Carroll",2104100000,"President","Santa Roy A. Clark","",0,3855
"KY","Carroll",2104100000,"President","Scott Cubbler","",0,3855
"KY","Carroll",2104100000,"President","Sheila Samm Tittle","We the People",0,3855
"KY","Carroll",2104100000,"President","Timothy Allen Stevens","",0,3855
"KY","Carroll",2104100000,"President","Tom Hoefling","America's Party",0,3855
"KY","Carroll",2104100000,"President","William Martin Ling","",0,3855
"KY","Carter",2104300000,"President","Anthony J. Valdiva","",0,10278
"KY","Carter",2104300000,"President","Ben Hartnell","",0,10278
"KY","Carter",2104300000,"President","Cherunda Fox","",0,10278
"KY","Carter",2104300000,"President","Chris Keniston","Veteran's Party of America",0,10278
"KY","Carter",2104300000,"President","Craig Ellis","",0,10278
"KY","Carter",2104300000,"President","Daniel Paul Zutler","",0,10278
"KY","Carter",2104300000,"President","Darrell Castle","Constitution",0,10278
"KY","Carter",2104300000,"President","David Perry","",0,10278
"KY","Carter",2104300000,"President","Denny Carroll Jackson","",0,10278
"KY","Carter",2104300000,"President","Donald Trump","Republican",7587,10278
"KY","Carter",2104300000,"President","Evan McMullin","Independent",109,10278
"KY","Carter",2104300000,"President","Gary Johnson","Libertarian",237,10278
"KY","Carter",2104300000,"President","Hillary Clinton","Democrat",2276,10278
"KY","Carter",2104300000,"President","Jerry White","",0,10278
"KY","Carter",2104300000,"President","Jill Stein","Green",58,10278
"KY","Carter",2104300000,"President","Joseph Maldonado","",0,10278
"KY","Carter",2104300000,"President","Laurence Kotlikoff","",0,10278
"KY","Carter",2104300000,"President","Marshall Roy Schoenke","",0,10278
"KY","Carter",2104300000,"President","Michael Maturen","",0,10278
"KY","Carter",2104300000,"President","Mike Smith","",0,10278
"KY","Carter",2104300000,"President","Richard Duncan","",0,10278
"KY","Carter",2104300000,"President","Richard Turner Luesing Jr.","",0,10278
"KY","Carter",2104300000,"President","Rocky Roque de la Fuente","American Delta",7,10278
"KY","Carter",2104300000,"President","Santa Roy A. Clark","",0,10278
"KY","Carter",2104300000,"President","Scott Cubbler","",0,10278
"KY","Carter",2104300000,"President","Sheila Samm Tittle","We the People",0,10278
"KY","Carter",2104300000,"President","Timothy Allen Stevens","",4,10278
"KY","Carter",2104300000,"President","Tom Hoefling","America's Party",0,10278
"KY","Carter",2104300000,"President","William Martin Ling","",0,10278
"KY","Casey",2104500000,"President","Anthony J. Valdiva","",0,6439
"KY","Casey",2104500000,"President","Ben Hartnell","",0,6439
"KY","Casey",2104500000,"President","Cherunda Fox","",0,6439
"KY","Casey",2104500000,"President","Chris Keniston","Veteran's Party of America",0,6439
"KY","Casey",2104500000,"President","Craig Ellis","",0,6439
"KY","Casey",2104500000,"President","Daniel Paul Zutler","",0,6439
"KY","Casey",2104500000,"President","Darrell Castle","Constitution",0,6439
"KY","Casey",2104500000,"President","David Perry","",0,6439
"KY","Casey",2104500000,"President","Denny Carroll Jackson","",0,6439
"KY","Casey",2104500000,"President","Donald Trump","Republican",5482,6439
"KY","Casey",2104500000,"President","Evan McMullin","Independent",40,6439
"KY","Casey",2104500000,"President","Gary Johnson","Libertarian",121,6439
"KY","Casey",2104500000,"President","Hillary Clinton","Democrat",767,6439
"KY","Casey",2104500000,"President","Jerry White","",0,6439
"KY","Casey",2104500000,"President","Jill Stein","Green",28,6439
"KY","Casey",2104500000,"President","Joseph Maldonado","",0,6439
"KY","Casey",2104500000,"President","Laurence Kotlikoff","",0,6439
"KY","Casey",2104500000,"President","Marshall Roy Schoenke","",0,6439
"KY","Casey",2104500000,"President","Michael Maturen","",0,6439
"KY","Casey",2104500000,"President","Mike Smith","",0,6439
"KY","Casey",2104500000,"President","Richard Duncan","",0,6439
"KY","Casey",2104500000,"President","Richard Turner Luesing Jr.","",0,6439
"KY","Casey",2104500000,"President","Rocky Roque de la Fuente","American Delta",1,6439
"KY","Casey",2104500000,"President","Santa Roy A. Clark","",0,6439
"KY","Casey",2104500000,"President","Scott Cubbler","",0,6439
"KY","Casey",2104500000,"President","Sheila Samm Tittle","We the People",0,6439
"KY","Casey",2104500000,"President","Timothy Allen Stevens","",0,6439
"KY","Casey",2104500000,"President","Tom Hoefling","America's Party",0,6439
"KY","Casey",2104500000,"President","William Martin Ling","",0,6439
"KY","Christian",2104700000,"President","Anthony J. Valdiva","",0,22083
"KY","Christian",2104700000,"President","Ben Hartnell","",0,22083
"KY","Christian",2104700000,"President","Cherunda Fox","",0,22083
"KY","Christian",2104700000,"President","Chris Keniston","Veteran's Party of America",0,22083
"KY","Christian",2104700000,"President","Craig Ellis","",0,22083
"KY","Christian",2104700000,"President","Daniel Paul Zutler","",0,22083
"KY","Christian",2104700000,"President","Darrell Castle","Constitution",0,22083
"KY","Christian",2104700000,"President","David Perry","",0,22083
"KY","Christian",2104700000,"President","Denny Carroll Jackson","",0,22083
"KY","Christian",2104700000,"President","Donald Trump","Republican",14108,22083
"KY","Christian",2104700000,"President","Evan McMullin","Independent",179,22083
"KY","Christian",2104700000,"President","Gary Johnson","Libertarian",474,22083
"KY","Christian",2104700000,"President","Hillary Clinton","Democrat",7188,22083
"KY","Christian",2104700000,"President","Jerry White","",0,22083
"KY","Christian",2104700000,"President","Jill Stein","Green",120,22083
"KY","Christian",2104700000,"President","Joseph Maldonado","",0,22083
"KY","Christian",2104700000,"President","Laurence Kotlikoff","",0,22083
"KY","Christian",2104700000,"President","Marshall Roy Schoenke","",0,22083
"KY","Christian",2104700000,"President","Michael Maturen","",0,22083
"KY","Christian",2104700000,"President","Mike Smith","",0,22083
"KY","Christian",2104700000,"President","Richard Duncan","",0,22083
